numsad_int,numhaha_int,numwow_int,numangry_int,numloves_int,numlikes_int,numshares_int,MIPP,sentiment,log_length,else_leader_org,IDEO,IDEOsq,accountname,issue,party_affil
0,0,0,0,0,8,0,0.13664999961853028,0.047619047619,4.0430530222189764,else,6.050000190734863,1.1025004386901855,145,10000,ÖVP
21,0,4,26,0,125,127,0.043299999237060544,0,4.753591053174959,else,2.1500000953674316,8.122499465942383,80,10000,GRÜNE
0,0,0,0,0,11,0,0.13664999961853028,0.1,3.5553509186281893,else,6.050000190734863,1.1025004386901855,62,10000,ÖVP
0,1,0,0,0,20,0,0.043299999237060544,-0.0833333333333,2.4849149830866115,org,2.1500000953674316,8.122499465942383,92,10000,GRÜNE
0,0,0,0,0,42,1,0.13664999961853028,0.0181818181818,3.9512456416565014,else,6.050000190734863,1.1025004386901855,191,10000,ÖVP
0,0,0,0,0,30,0,0.043299999237060544,0.125,2.0794540416017115,org,2.1500000953674316,8.122499465942383,50,10000,GRÜNE
0,0,0,0,0,12,0,0.08649999618530274,0,2.944444242310485,else,3.3499999046325684,2.7225003242492676,81,10000,SPÖ
0,0,0,0,0,20,2,0.08649999618530274,0.025,5.117994411218971,else,3.3499999046325684,2.7225003242492676,248,10000,SPÖ
4,3,12,26,2,85,0,0.21504999160766602,0,3.6888819541108115,org,4.550000190734863,0.20249982178211212,181,10000,NEOS
5,0,0,0,0,2,5,0.043299999237060544,-0.0138888888889,4.317489446868755,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
0,0,0,0,1,101,7,0.13664999961853028,0.0625,3.8918223389248707,else,6.050000190734863,1.1025004386901855,132,10000,ÖVP
0,1,0,1,0,7,3,0.043299999237060544,0.1,3.258100384167932,org,2.1500000953674316,8.122499465942383,87,10000,GRÜNE
0,0,1,0,3,111,22,0.21504999160766602,0.0869565217391,3.091046998802531,else,4.550000190734863,0.20249982178211212,196,10000,NEOS
0,0,0,0,0,11,3,0.08649999618530274,-0.0434782608696,3.044527199616847,org,3.3499999046325684,2.7225003242492676,223,10000,SPÖ
0,0,0,0,8,123,0,0.08649999618530274,0.0869565217391,3.135498563745785,org,3.3499999046325684,2.7225003242492676,232,10000,SPÖ
0,0,0,0,0,47,6,0.08649999618530274,-0.0121951219512,3.737671999232915,else,3.3499999046325684,2.7225003242492676,11,10000,SPÖ
0,0,0,0,1,33,1,0.13664999961853028,0,3.8501497293673697,else,6.050000190734863,1.1025004386901855,198,10000,ÖVP
0,0,0,0,0,19,0,0.13664999961853028,0.027397260274,4.290460811010466,org,6.050000190734863,1.1025004386901855,188,10000,ÖVP
0,0,0,0,0,11,7,0.06670000076293946,0,4.812185168380217,org,8.100000381469727,9.610002517700195,72,10000,FPÖ
0,0,1,0,0,26,3,0.08649999618530274,0.047619047619,3.135498563745785,else,3.3499999046325684,2.7225003242492676,166,10000,SPÖ
0,0,0,0,0,12,1,0.08649999618530274,0.0652173913043,3.761202441272254,else,3.3499999046325684,2.7225003242492676,248,10000,SPÖ
0,0,0,0,0,72,9,0.06670000076293946,-0.05,2.890377313436288,else,8.100000381469727,9.610002517700195,154,10000,FPÖ
1,0,3,2,4,116,0,0.043299999237060544,0.105263157895,2.944444242310485,org,2.1500000953674316,8.122499465942383,92,10000,GRÜNE
0,0,0,0,0,30,1,0.043299999237060544,0.0588235294118,3.465739027794844,else,2.1500000953674316,8.122499465942383,127,10000,GRÜNE
0,0,0,0,0,7,1,0.043299999237060544,0.103448275862,3.367299278256391,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
0,0,0,0,0,41,5,0.13664999961853028,0.0114942528736,4.7095311022128294,else,6.050000190734863,1.1025004386901855,108,10000,ÖVP
0,0,0,0,0,35,10,0.13664999961853028,0.0140845070423,4.304066444554608,else,6.050000190734863,1.1025004386901855,36,10000,ÖVP
0,0,0,0,0,3,0,0.043299999237060544,-0.037037037037,4.007335003412637,org,2.1500000953674316,8.122499465942383,95,10000,GRÜNE
0,0,0,0,0,10,0,0.06670000076293946,-0.0222222222222,3.663564210228923,org,8.100000381469727,9.610002517700195,71,10000,FPÖ
0,1,0,0,0,25,1,0.13664999961853028,-0.025,3.526363465788307,else,6.050000190734863,1.1025004386901855,51,10000,ÖVP
0,0,2,0,7,204,30,0.043299999237060544,0.0425531914894,3.663564210228923,org,2.1500000953674316,8.122499465942383,47,10000,GRÜNE
0,2,1,1,3,50,4,0.13664999961853028,-0.0291262135922,4.605171185987591,else,6.050000190734863,1.1025004386901855,191,10000,ÖVP
0,0,0,0,1,8,1,0.21504999160766602,0.0204081632653,3.912025005426146,else,4.550000190734863,0.20249982178211212,17,10000,NEOS
0,0,2,0,9,64,0,0.08649999618530274,0,2.995737273541491,org,3.3499999046325684,2.7225003242492676,229,10000,SPÖ
0,0,0,0,2,75,4,0.08649999618530274,0,3.091046998802531,else,3.3499999046325684,2.7225003242492676,11,10000,SPÖ
0,0,0,0,1,12,2,0.06670000076293946,-0.04,3.258100384167932,else,8.100000381469727,9.610002517700195,54,10000,FPÖ
2,6,0,1,2,109,21,0.08649999618530274,-0.0428571428571,4.189656257176793,else,3.3499999046325684,2.7225003242492676,113,10000,SPÖ
0,0,0,0,0,31,0,0.13664999961853028,0.176470588235,2.77259497222025,else,6.050000190734863,1.1025004386901855,141,10000,ÖVP
0,0,0,0,0,15,2,0.06670000076293946,0.130434782609,3.135498563745785,else,8.100000381469727,9.610002517700195,142,10000,FPÖ
0,0,1,0,2,23,0,0.13664999961853028,0,3.761202441272254,org,6.050000190734863,1.1025004386901855,189,10000,ÖVP
0,0,0,0,9,79,13,0.08649999618530274,-0.030303030303,3.496510591764919,org,3.3499999046325684,2.7225003242492676,232,10000,SPÖ
0,0,0,0,1,8,0,0.043299999237060544,0.0133333333333,4.007335003412637,org,2.1500000953674316,8.122499465942383,93,10000,GRÜNE
11,0,4,40,1,238,276,0.06670000076293946,-0.037037037037,3.9702938003427946,else,8.100000381469727,9.610002517700195,208,10000,FPÖ
0,0,0,0,0,5,1,0.08649999618530274,0.0263157894737,3.5835217162300297,else,3.3499999046325684,2.7225003242492676,160,10000,SPÖ
0,0,0,0,0,28,15,0.043299999237060544,0.08,3.218879824860201,org,2.1500000953674316,8.122499465942383,88,10000,GRÜNE
0,0,0,0,0,10,4,0.06670000076293946,-0.0434782608696,2.944444242310485,org,8.100000381469727,9.610002517700195,74,10000,FPÖ
0,2,0,2,7,132,38,0.08649999618530274,0.130434782609,3.135498563745785,org,3.3499999046325684,2.7225003242492676,231,10000,SPÖ
0,0,0,0,1,38,13,0.08649999618530274,0.014492753623200001,4.234107953871572,org,3.3499999046325684,2.7225003242492676,223,10000,SPÖ
0,0,1,0,0,35,4,0.13664999961853028,0.0416666666667,3.178057997005932,else,6.050000190734863,1.1025004386901855,13,10000,ÖVP
23,1,8,36,8,507,272,0.08649999618530274,0.0526315789474,2.944444242310485,org,3.3499999046325684,2.7225003242492676,221,10000,SPÖ
0,0,0,0,0,10,7,0.06670000076293946,0.0555555555556,3.496510591764919,org,8.100000381469727,9.610002517700195,66,10000,FPÖ
0,1,0,0,1,26,0,0.13664999961853028,0.0740740740741,3.218879824860201,org,6.050000190734863,1.1025004386901855,23,10000,ÖVP
0,0,0,0,0,4,0,0.043299999237060544,0.125,2.833219226391856,org,2.1500000953674316,8.122499465942383,87,10000,GRÜNE
0,1,1,0,7,145,14,0.21504999160766602,-0.0555555555556,2.944444242310485,else,4.550000190734863,0.20249982178211212,84,10000,NEOS
